Stops,Price,Duration,Month,Airline,Departure-Time-Category
1,1170.0,34.75,11,Qantas Airways,5:00-11:00 PM
2,1597.0,26.08,11,Qantas Airways,5:00-11:00 PM
2,1441.0,29.83,11,Turkish Airlines,11:00-5:00 PM
2,1700.0,25.0,11,Other Airlines,5:00-11:00 AM
2,1554.0,29.0,11,Other Airlines,11:00-5:00 PM
1,1197.0,22.33,11,Qantas Airways,11:00-5:00 PM
3,868.0,34.75,11,Other Airlines,5:00-11:00 AM
1,1197.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1229.0,22.33,11,Emirates,11:00-5:00 PM
2,1115.0,26.83,11,Air France,11:00-5:00 PM
1,1229.0,23.17,11,Emirates,5:00-11:00 PM
2,1115.0,27.75,11,Air France,11:00-5:00 PM
3,868.0,34.75,11,Other Airlines,5:00-11:00 AM
2,1081.0,33.75,11,Finnair,5:00-11:00 AM
1,1197.0,34.75,11,Qantas Airways,5:00-11:00 PM
3,872.0,34.75,11,Other Airlines,5:00-11:00 AM
2,1084.0,34.17,11,Finnair,5:00-11:00 AM
2,1081.0,34.67,11,Finnair,5:00-11:00 AM
1,1197.0,38.67,11,Qantas Airways,5:00-11:00 PM
2,1189.0,27.17,11,KLM,5:00-11:00 PM
2,1731.0,27.17,11,KLM,5:00-11:00 PM
3,1619.0,27.08,11,KLM,5:00-11:00 PM
3,1712.0,26.83,11,KLM,5:00-11:00 PM
2,1997.0,26.17,11,KLM,5:00-11:00 PM
2,1997.0,27.08,11,KLM,5:00-11:00 PM
3,1712.0,30.75,11,KLM,11:00-5:00 PM
2,1997.0,30.08,11,KLM,11:00-5:00 PM
2,1037.0,27.92,11,British Airways,11:00-5:00 PM
1,1121.0,22.33,11,Emirates,11:00-5:00 PM
3,610.0,42.33,11,Other Airlines,5:00-11:00 AM
1,1132.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
2,902.0,30.42,11,Turkish Airlines,11:00-5:00 PM
2,1081.0,25.17,11,Other Airlines,5:00-11:00 AM
2,1081.0,25.17,11,Other Airlines,5:00-11:00 AM
2,1026.0,27.92,11,British Airways,11:00-5:00 PM
2,1178.0,25.5,11,Other Airlines,5:00-11:00 PM
2,1067.0,28.42,11,British Airways,11:00-5:00 PM
2,1077.0,28.42,11,British Airways,11:00-5:00 PM
2,1178.0,25.0,11,Etihad Airways,5:00-11:00 AM
2,1178.0,25.5,11,Other Airlines,5:00-11:00 AM
2,1178.0,25.5,11,Other Airlines,5:00-11:00 AM
2,1178.0,25.5,11,Etihad Airways,5:00-11:00 AM
2,1264.0,27.0,11,Other Airlines,5:00-11:00 AM
2,694.0,30.25,11,Turkish Airlines,11:00-5:00 PM
3,596.0,50.25,11,British Airways,5:00-11:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
2,856.0,31.33,11,British Airways,11:00-5:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,997.0,26.83,11,Air France,11:00-5:00 PM
2,909.0,30.5,11,Turkish Airlines,11:00-5:00 PM
2,780.0,31.0,11,British Airways,11:00-5:00 PM
1,1169.0,23.17,11,Emirates,5:00-11:00 PM
2,997.0,27.75,11,Air France,11:00-5:00 PM
2,1021.0,30.92,11,Finnair,5:00-11:00 PM
2,1036.0,26.0,11,British Airways,5:00-11:00 PM
1,1146.0,30.83,11,Qantas Airways,11:00-5:00 PM
2,1075.0,25.58,11,SWISS,5:00-11:00 PM
2,1081.0,25.42,11,Finnair,5:00-11:00 PM
1,1123.0,23.92,11,Other Airlines,5:00-11:00 AM
2,623.0,31.5,11,Other Airlines,11:00-5:00 PM
3,462.0,41.08,11,Other Airlines,5:00-11:00 AM
2,685.0,28.17,11,Turkish Airlines,11:00-5:00 PM
2,607.0,32.75,11,Other Airlines,11:00-5:00 PM
2,891.0,24.92,11,Other Airlines,5:00-11:00 PM
2,896.0,24.92,11,Other Airlines,5:00-11:00 PM
1,1101.0,22.33,11,Emirates,11:00-5:00 PM
1,1075.0,23.92,11,Other Airlines,5:00-11:00 AM
2,891.0,26.17,11,Other Airlines,5:00-11:00 PM
2,613.0,34.08,11,Other Airlines,11:00-5:00 PM
2,789.0,31.83,11,Other Airlines,11:00-5:00 PM
2,623.0,35.08,11,Other Airlines,11:00-5:00 PM
1,1101.0,23.17,11,Emirates,5:00-11:00 PM
2,896.0,26.17,11,Other Airlines,5:00-11:00 PM
2,707.0,31.0,11,British Airways,11:00-5:00 PM
2,662.0,32.75,11,Other Airlines,11:00-5:00 PM
2,1303.0,27.0,11,Other Airlines,5:00-11:00 AM
2,904.0,25.58,11,SWISS,5:00-11:00 PM
2,842.0,40.75,11,Turkish Airlines,11:00-5:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
2,995.0,26.83,11,Air France,11:00-5:00 PM
2,1081.0,25.42,11,Finnair,5:00-11:00 PM
2,995.0,27.75,11,Air France,11:00-5:00 PM
2,1080.0,26.08,11,KLM,5:00-11:00 PM
2,1097.0,25.17,11,Other Airlines,5:00-11:00 AM
2,1097.0,25.17,11,Other Airlines,5:00-11:00 AM
2,1081.0,26.33,11,Finnair,5:00-11:00 PM
2,1080.0,27.0,11,KLM,5:00-11:00 PM
2,1088.0,26.83,11,Other Airlines,5:00-11:00 PM
2,1081.0,27.33,11,Finnair,5:00-11:00 PM
2,995.0,26.83,11,Air France,11:00-5:00 PM
1,1145.0,22.33,11,Emirates,11:00-5:00 PM
2,924.0,26.83,11,Air France,11:00-5:00 PM
1,1156.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1171.0,23.17,11,Qantas Airways,5:00-11:00 PM
1,1171.0,23.17,11,Emirates,5:00-11:00 PM
2,924.0,27.75,11,Air France,11:00-5:00 PM
2,1115.0,25.67,11,British Airways,5:00-11:00 PM
2,1121.0,25.17,11,Other Airlines,5:00-11:00 AM
2,1202.0,25.5,11,Other Airlines,5:00-11:00 PM
3,1080.0,26.75,11,KLM,5:00-11:00 PM
3,1079.0,27.0,11,KLM,5:00-11:00 PM
2,1156.0,27.42,11,British Airways,11:00-5:00 PM
2,1126.0,28.0,11,British Airways,11:00-5:00 PM
2,1156.0,27.92,11,British Airways,11:00-5:00 PM
2,1156.0,28.42,11,British Airways,11:00-5:00 PM
1,1195.0,23.92,11,Other Airlines,5:00-11:00 AM
3,484.0,35.83,11,Other Airlines,11:00-5:00 PM
2,641.0,30.5,11,Other Airlines,11:00-5:00 PM
2,881.0,26.17,11,Other Airlines,5:00-11:00 AM
1,1125.0,22.33,11,Emirates,11:00-5:00 PM
2,575.0,36.0,11,Other Airlines,11:00-5:00 PM
1,1125.0,23.17,11,Emirates,5:00-11:00 PM
3,484.0,35.83,11,Other Airlines,11:00-5:00 PM
2,654.0,31.5,11,Other Airlines,11:00-5:00 PM
2,882.0,27.58,11,Other Airlines,5:00-11:00 AM
1,1145.0,22.33,11,Emirates,11:00-5:00 PM
2,896.0,28.08,11,Other Airlines,5:00-11:00 PM
2,921.0,27.17,11,Other Airlines,5:00-11:00 AM
1,1156.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1121.0,23.92,11,Other Airlines,5:00-11:00 AM
2,838.0,30.83,11,Other Airlines,11:00-5:00 PM
2,1303.0,27.0,11,Other Airlines,5:00-11:00 AM
2,630.0,30.25,11,Turkish Airlines,11:00-5:00 PM
2,559.0,40.25,11,Other Airlines,5:00-11:00 AM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,1027.0,25.42,11,British Airways,5:00-11:00 PM
2,599.0,33.5,11,Other Airlines,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,625.0,33.67,11,Other Airlines,11:00-5:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
2,904.0,34.92,11,SWISS,5:00-11:00 AM
2,978.0,30.5,11,Turkish Airlines,11:00-5:00 PM
2,1026.0,28.08,11,British Airways,11:00-5:00 PM
1,1146.0,30.83,11,Qantas Airways,11:00-5:00 PM
2,1019.0,28.83,11,Other Airlines,5:00-11:00 AM
2,977.0,32.67,11,Turkish Airlines,11:00-5:00 PM
2,1027.0,28.08,11,British Airways,11:00-5:00 PM
2,849.0,54.42,11,Turkish Airlines,11:00-5:00 PM
2,904.0,25.58,11,SWISS,5:00-11:00 PM
3,560.0,57.75,11,SWISS,5:00-11:00 PM
2,890.0,26.83,11,Air France,11:00-5:00 PM
1,1132.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,905.0,27.75,11,Air France,11:00-5:00 PM
1,1146.0,22.33,11,Emirates,11:00-5:00 PM
2,983.0,25.75,11,SWISS,5:00-11:00 PM
1,1146.0,23.17,11,Emirates,5:00-11:00 PM
1,1146.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,902.0,30.42,11,Turkish Airlines,11:00-5:00 PM
2,904.0,30.92,11,SWISS,11:00-5:00 PM
