Date,Stops,Price,Duration,Departure-Time,Airline
2024-11-19,1,1146.0,23.17,20:50,Emirates
2024-11-19,2,1013.0,25.5,10:00,Other Airlines
2024-11-19,2,1013.0,25.5,10:00,Other Airlines
2024-11-19,2,1027.0,26.0,17:55,British Airways
2024-11-19,2,1081.0,25.42,18:05,Finnair
2024-11-19,2,1027.0,27.0,16:55,British Airways
2024-11-19,2,1058.0,25.5,08:25,Etihad Airways
2024-11-20,2,493.0,34.08,13:20,Other Airlines
2024-11-20,2,463.0,34.08,13:20,Other Airlines
2024-11-20,1,986.0,23.17,08:25,Etihad Airways
2024-11-20,2,778.0,26.92,06:40,Other Airlines
2024-11-20,2,473.0,37.42,10:00,Other Airlines
2024-11-20,2,828.0,26.83,16:40,Air France
2024-11-20,2,890.0,24.25,06:40,Other Airlines
2024-11-20,3,522.0,33.08,13:20,Other Airlines
2024-11-20,2,591.0,33.67,13:20,Other Airlines
2024-11-20,2,612.0,34.0,13:25,KLM
2024-11-20,2,896.0,24.25,06:40,Other Airlines
2024-11-20,2,675.0,31.5,15:30,Other Airlines
2024-11-20,2,828.0,27.75,16:40,Air France
2024-11-20,2,859.0,26.17,07:40,Other Airlines
2024-11-20,1,1110.0,22.33,13:10,Emirates
2024-11-20,2,648.0,32.75,14:15,Other Airlines
2024-11-21,1,1160.0,23.92,07:55,Other Airlines
2024-11-21,2,778.0,26.92,06:40,Other Airlines
2024-11-21,2,482.0,40.08,17:15,Other Airlines
2024-11-21,2,649.0,30.5,16:30,Other Airlines
2024-11-21,2,649.0,31.5,15:30,Other Airlines
2024-11-21,2,890.0,24.25,06:40,Other Airlines
2024-11-21,2,828.0,26.83,16:40,Air France
2024-11-21,2,896.0,24.25,06:40,Other Airlines
2024-11-21,1,1110.0,22.33,13:10,Emirates
2024-11-21,2,828.0,27.75,16:40,Air France
2024-11-21,2,678.0,31.0,16:00,British Airways
2024-11-21,2,859.0,26.17,07:40,Other Airlines
2024-11-21,2,788.0,30.83,16:30,Other Airlines
2024-11-21,2,828.0,28.75,16:40,Air France
2024-11-21,1,1132.0,22.33,13:10,Qantas Airways
2024-11-21,2,788.0,31.83,15:30,Other Airlines
2024-11-21,2,904.0,25.58,18:40,SWISS
2024-11-22,3,1961.0,27.0,17:25,KLM
2024-11-22,3,1998.0,26.75,17:25,KLM
2024-11-22,2,2791.0,26.83,16:40,Air France
2024-11-22,2,2966.0,26.08,17:25,KLM
2024-11-22,2,2791.0,27.75,16:40,Air France
2024-11-22,2,2966.0,27.0,17:25,KLM
2024-11-22,2,2966.0,30.08,13:25,KLM
2024-11-23,2,1337.0,27.25,07:55,Other Airlines
2024-11-23,2,828.0,26.83,16:40,Air France
2024-11-23,3,683.0,100.58,18:40,SWISS
2024-11-23,2,828.0,27.75,16:40,Air France
2024-11-23,2,907.0,25.58,18:40,SWISS
2024-11-23,1,1177.0,22.33,13:10,Qantas Airways
2024-11-23,2,838.0,30.42,16:55,Turkish Airlines
2024-11-23,2,983.0,24.83,18:40,SWISS
